我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
今年夏天我去徒步旅行了。 我独自一人去露营地徒步旅行。 我迷路了，因为我身上没带任何装备。 我走了好几英里去找我的朋友。
海莉正在参加学校的马拉松比赛。 但是她忘了带跑鞋。 海莉仍然很坚定。 她问她的老师是否可以把她的跑鞋借给她一天。
吉姆正在院子里割草，他的割草机被金属卡住了。 吉姆仔细看了看金属，发现它看起来像珠宝。 他把这块金属拿到鉴定人那里。 鉴定人告诉他这是一枚来自古老文明的老戒指。
凯尔和泰德参加了一场吃馅饼大赛。 他俩一起坐在馅饼前。 比赛一开始，他俩就全力以赴。 他俩胃痛得厉害。
鲍勃正在打排球。 他突然感到头晕目眩，跌倒在地。 他的朋友们迅速赶来帮助他。 鲍勃由于用力而脱水。
凯西吃惊地发现她的牛奶用完了。 于是她带着年幼的孩子们去了商店。 他们在店里很淘气，经常尖叫。 凯西在回家的路上哭了。
查克一直想加入学校的辩论队。 他有很好的想法可以辩论，但他怕公开演讲。 他在整个夏天参加了一个演讲班来提升自己。 一开学，他就报名参加了学校的辩论队。
我曾经迷失在一片树林里。 那里非常热。 我很快就觉得口很渴。 觉得自己将要死去。
劳拉热爱艺术。 每天下课后，她都会画画。 有一天她画了一副自画像。 并把它发到网上让大家欣赏。
杰森一直很欣赏电视里拳击手们那快速的动作。 他开始在闲暇时间进行训练，以成为一名拳击手。 他每天花几个小时练习刺拳和跳绳。 终于他成为了一名厉害的拳击手。
我们孩子们的学校放了 2 天假。 我们决定去大狼屋酒店游玩一番。 孩子们在水上公园享受着游泳的乐趣。 游完泳后，我们吃比萨饼，享受讲故事的时光。
周末的一天，汤姆在一个公共汽车站等车。 他旁边有位个子高高的先生。 这位先生突然大吼起来。 汤姆和旁边所有人都觉得有点不安。
艾莉瘦了50磅。 医生告诉她还需要再减10磅。 如果她再减10磅，他就会帮她做皮肤切除手术。 艾莉努力节食和锻炼。
珍妮沉迷于发文字信息。 她甚至在开车时发文字信息。 当她回复一条文字信息时，她的目光离开了路面。 她听到汽车喇叭声，发现自己驶入了逆行车道。
艾丽想要一辆新车。 她去了车行，挑了一辆最完美的。 汽车经销商帮她制定了付款计划。 艾丽每个月付五百美元。
杰伊的车出了问题。 他把噗噗作响的车开进了汽车修理厂。 他害怕修理费太贵。 但是修理工给了他一些好消息。
内德在树林里徒步旅行时，看见一颗树下有一个毛团。 毛团开始移动，并发出轻微的叫声。 内德走近一看，原来是一群幼小的负鼠宝宝。 他打电话给当地的野生动物救援组织，报告了这群负鼠宝宝。
唐的朋友在唐的毕业班同学面前扯下了他的裤子。 被这样暴露，唐很生气，也很尴尬。 唐决定不再和他做朋友。 唐的羞愧和尴尬与日俱增。
一天我走出家门，却没看见我的狗。 我慌了起来。 我不知道它在哪里。 突然，我的邻居从隔壁叫我。
我是在好市多认识我丈夫的。 他在我的会员照片上画犄角，疯狂地调情。 我不知道我为什么答应和他约会，但我答应了。 五年后，我们结婚了。
辛迪在一家餐馆。 她点了热汤。 但是服务员忘了告诉她碗很烫。 所以当她从女服务员那里接过碗时，她的手被烫伤了。
劳拉一直很喜欢游泳，但她从未尝试过仰泳。 她通常避免仰泳，因为她不想耳朵进水。 一天，她决定向一位游泳专家学习仰泳。 她发现自己喜欢仰泳，耳朵也没有进水。
一天，我决定步行去城里。 城里离我家不远，只有几英里！ 一到城里，我就决定停下来喝杯咖啡。 我选了一家很棒的小酒馆，坐下来吃午餐。
杰茜讨厌鸡蛋沙拉。 当她朋友的母亲端上鸡蛋沙拉时，她知道她不得不吃下去。 正当她要吃第一口的时候，朋友家里的狗走了过来。 没有人在看她，所以她把鸡蛋沙拉放到狗面前。
罗比和我去一家高级餐厅庆祝我们的结婚纪念日。 餐厅十分优雅。 为了得到一个桌位，我们俩都得穿得很正式。 我们在4个小时的时间里享用了10道菜。
朗尼受够了现代生活。 他决定远离喧嚣。 他在树林里找到了一块空地，在上面搭起了帐篷。 第一个晚上很可怕，因为他听到了动物的嚎叫和许多沙沙声。
鲍勃早上得去上班。 但他的汽车电池没电了，无法发动汽车。 他叫他的邻居来帮忙借电启动。 他的邻居过来帮他发动了车。
艾娃需要一张飞越全国的机票。 她担心机票会很贵。 但代理商告诉了她一个好消息。 她已经积累了足够的里程来兑换机票！
我的朋友莎伦昨天很不安。 她发现她的公司想让她退休。 虽然退休金很不错，但她还是很不安。 我帮她重写了简历，为找工作做准备。
妮塔在和她爸爸玩拉米纸牌。 她连输 10 局！ 他们在最后一局押了所有的点数。 妮塔努力玩好了这一局，她赢了！
蒂娜第一次参加滑冰比赛。 她紧张极了。 她担心会出什么差错。 谢天谢地，她表现得很好。
尼尔游览了泰姬陵。 他很欣赏泰姬陵优美的设计。 然后他听到了它背后的悲伤故事。 尼尔为这引人注目的爱的结晶所感动。
马克和弗兰克在马克家的游泳池里游泳。 马克的妈妈拿出一个海绵球给他们。 马克和弗兰克来回地扔球，玩得很开心。 但后来吸满水的海绵球意外地击中了马克的妈妈！
泰为参加谁也不认识的夏令营而感到不安。 第一天，他在踢足球时遇到了山姆。 当天晚上，他在营火会上遇见了布伦达。 第二天早餐时，他遇见了比尔。
文斯很想吃甜食。 文斯不想要他常吃的甜点冰淇淋。 文斯开车去了酸奶园地。 文斯买了 10 盎司冻酸奶。
内德想学打篮球。 他去学校体育馆观看球队训练。 很快，他就有足够的信心去投篮了。 队员们看他投篮，都欢呼起来。
巴克失去了房子和工作。 他坐在马路上乞讨，十分羞愧。 然后一个女人走近他，告诉他附近有一个收容所。 巴克很感兴趣，立刻去了收容所。
乔希喜欢蜜蜂。 他认为它们对地球有好处。 有一天，乔希被蜜蜂蛰了。 他疼得厉害。
上周，我和女朋友买了三张彩票。 这不是我们通常会做的事情。 我们急用钱。 即使希望渺茫也值得。
弗雷德总是会在上班前光顾同一家咖啡店。 他认识了那位迷人的咖啡师。 他被她迷住了。 最后弗雷德鼓起勇气约她出去。
有一天，珍妮饿着肚子来到商店。 她转来转去，想着自己想吃什么。 来到饼干货架时，她终于知道自己想要什么了。 她拿了一些饼干，之后朝商店前面走去。
鲍勃敲门要见珍妮。 珍妮开了门，来到外面的车旁边。 珍妮和鲍勃开着车去看电影了。 鲍勃和珍妮玩得很开心。
我买了一辆新卡车。 为了庆祝，我去玩了泥浴。 我开车穿过很多泥坑。 我的卡车弄得特别脏。
能去新罕布什尔州参加桑德斯的集会，彼得很高兴。 彼得进入集会场馆时，那里挤满了人。 彼得看到伯尼时，他用最大的声音欢呼起来。 能够来到这里，他感到很高兴。
乔希正在为一名研究员写短篇小说。 研究员对乔希的故事印象深刻。 研究员决定给乔希一笔奖金。 能得到奖金，乔希很高兴。
伊桑喜欢制做 Youtube 视频。 但他觉得太尴尬了，所以没有上传任何视频。 一天，他鼓足勇气，上传了一个视频。 很快，他就获得了 100 个点击量！
有一天，我在公园里散步。 一个陌生人走近我，问我要零钱。 我告诉那个人，我没钱。 那个人在走之前亲切地说了声谢谢。
吉娜和她的朋友们在学校图书馆外面。 他们想要进去。 但图书管理员不在图书馆里。 姑娘们不知道她在哪里。
安娜在湖里游泳。 她穿过了整个湖面，来到另一边的木筏边。 她准备游回来，但又停了下来。 她看见一条巨大、可怕的鱼在水里游来游去！
一个人给他尚未成人的儿子买了一辆自行车。 这和他小时候买的自行车是同一个牌子。 一直到他长大成人，他的自行车还好好的。 但他儿子的自行车才用了几个星期就坏了。
杰米想邀请杰克和她一起去参加学校的舞会。 放学后，她在大门外等杰克。 杰克出来时，和另一个女孩手拉手一起走着。 杰米愣住了，一时说不出话来。
比利的朋友们认为他是个胆小怕事的人。 他们激他走进那间闹鬼的房子。 他决定进去，甚至在那里过夜。 尽管他很害怕，但他还是整晚都呆在那里。
安娜刚生了个女儿。 她想让自己的女儿打耳洞。 她带着孩子去美容院打了耳洞。 然后她把小小的钻石耳钉戴在耳洞上。
莎莉想为她的妈妈做点特别的事情。 她去给她买了一打红玫瑰。 她的妈妈很喜欢，把它们放在了桌上的花瓶里。 他们边吃晚饭边欣赏这些玫瑰花。
十六岁时，我偷过几顶帽子。 我有钱，但就是不想花钱去买。 离开商店之前，我被保安抓住了。 他们给我戴上手铐，带着我穿过商场。
马特七岁时就开始打棒球了。 现在，他已经十七岁了，但还是没有打出一个全垒打。 今天不仅是他最后一场比赛，也是锦标赛。 在第九局倒数时刻，马特打出了两记好球
那是卡拉的甜蜜花季聚会。 她和朋友开了一个盛大的聚会。 聚会结束后，她的父母叫她到外面。 走到外面后，她看到一辆崭新的汽车。
达琳刚搬到一座新的城市，她没有朋友。 达琳正在旧货店为她的新家寻找置物架。 一名顾客和收银员与达琳攀谈起来。 他们看起来很友好，还有相似的兴趣。
杰克是我的一位室友。 去年，他休学一年，在澳大利亚找了份厨师的工作。 由于食堂的饭菜不太好，我们决定自己做饭。 他教我如何烹饪，如何为牛排调味。
昨天，我去了动物收容所。 我一直在为家人寻找一条完美的狗。 我看上了一只叫托比的狗。 把它介绍给我的猫之后，我们决定把它带回家。
托尼厌倦了在商店里买的不新鲜的面包。 他打电话给他妈妈，学会了她的面包食谱。 托尼找齐了他需要的各种食材。 托尼按照食谱烤了面包。
赛琳娜是一位拥有众多粉丝的音乐艺术家。 其中一名粉丝非常疯狂。 他一直在公共场所跟踪她的位置，还给她发各种诡异的信息。 她决定报警。
山姆喜欢吃早餐。 他特别喜欢冷冻华夫饼。 他每天早上醒来都会做四个。 今早，他醒来的时候，盒子里有三个，不是四个。
